Trade_Date,RUN_TYPE,CURRENCY_FLAG,DELIVERY_DATE,DELIVERY_HOUR,DELIVERY_INTERVAL,SYSTEM_LOAD,SMP,SHADOW_PRICE,EA-SYSTEM_LOAD,EA-SMP,EA-SHADOW_PRICE,SEMO-WIND-FORECAST_MW,Eirgrid-WIND,Eirgrid-WIND-FORECAST,Eirgrid_outages_weekly_perc_available_capacity,Eirgrid_outages_weekly_available_capacity,SEMOgenbids_total_daily_supply,SEMOgenbids_supply-below-40euro,SEMOgenbids_supply-below-50euro,SEMOgenbids_supply-below-60euro,SEMOgenbids_supply-below-70euro,SEMOgenbids_supply-below-80euro, avg_monthly_per_halfhour_EP2_SMP, localavgsmpD=7
02/01/2010,EP2,EUR,02/01/10,17,2,5258.73,79.16,50.47,5346.95,44.97,44.97,135.62,162,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,78.345483871,99.0757142857
02/01/2010,EP2,EUR,02/01/10,18,1,5610,104.62,52.02,5748.68,106.46,44.97,140.91,149,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,116.701612903,131.274285714
02/01/2010,EP2,EUR,02/01/10,18,2,5712.95,128.52,52.02,5869.91,147.58,49.8,153.62,131.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,147.941290323,126.224285714
02/01/2010,EP2,EUR,02/01/10,19,1,5642.8,136.49,52.02,5853.68,117.43,49.8,173.35,156,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,115.787419355,80.89
02/01/2010,EP2,EUR,02/01/10,19,2,5528.32,138.66,52.1,5751.08,106.46,44.97,153.3,170,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,90.344516129,71.4114285714
02/01/2010,EP2,EUR,02/01/10,20,1,5397.79,126.97,50.47,5595.44,44.97,44.97,136.66,164,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,82.9138709677,59.7985714286
02/01/2010,EP2,EUR,02/01/10,20,2,5247.06,103.07,50.47,5496.04,44.97,44.97,131.68,170.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,79.4377419355,66.33
02/01/2010,EP2,EUR,02/01/10,21,1,5107.06,79.16,50.47,5302.26,37.62,37.62,142.59,195.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,71.8735483871,48.9114285714
02/01/2010,EP2,EUR,02/01/10,21,2,4962.2,50.47,50.47,5137.1,37.65,37.65,140.85,242.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,70.4796774194,45.7385714286
02/01/2010,EP2,EUR,02/01/10,22,1,4771.24,44.67,44.67,5021.3,37.62,37.62,145.95,261.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,64.9390322581,44.5242857143
02/01/2010,EP2,EUR,02/01/10,22,2,4616.78,37.6,37.6,4874.95,37.62,37.62,141.75,277.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,61.8883870968,41.8742857143
02/01/2010,EP2,EUR,02/01/10,23,1,4444.15,37.6,37.6,4708.07,37.24,37.24,145.09,306,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,57.1970967742,34.9942857143
02/01/2010,EP2,EUR,02/01/10,23,2,4331.55,35.33,35.33,4556.78,33.46,33.45,152.75,356,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,54.7525806452,34.7
02/01/2010,EP2,EUR,02/01/10,24,1,4440.65,44.67,44.67,4533.1,41.75,41.75,171.19,388,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,59.435483871,41.2314285714
02/01/2010,EP2,EUR,02/01/10,24,2,4317.47,35.33,35.33,4550.06,37.6,37.6,190.11,412.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,54.2222580645,35.9571428571
02/01/2010,EP2,EUR,03/01/10,1,1,4117.22,44.67,44.67,4350.3,31.52,31.52,213.29,450.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,52.3893548387,32.3842857143
02/01/2010,EP2,EUR,03/01/10,1,2,3923.88,35.33,35.33,4182.54,31.52,31.52,216.08,460,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,51.3438709677,30.7471428571
02/01/2010,EP2,EUR,03/01/10,2,1,3764.63,35.33,35.33,3999.02,31.48,31.48,218.87,474.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,50.0325806452,30.3042857143
02/01/2010,EP2,EUR,03/01/10,2,2,3606.29,35.33,35.33,3842.6,31.48,31.48,222.09,477,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,48.7041935484,29.9085714286
02/01/2010,EP2,EUR,03/01/10,3,1,3461.06,35.33,35.33,3696.7,31.48,31.48,218.02,492.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,47.034516129,29.8285714286
02/01/2010,EP2,EUR,03/01/10,3,2,3336.15,31.48,31.48,3549.93,31.48,31.48,228.58,495,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,46.2619354839,28.9914285714
02/01/2010,EP2,EUR,03/01/10,4,1,3167.33,29.32,29.32,3430.57,31.48,31.48,235.65,498.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,45.3512903226,28.7242857143
02/01/2010,EP2,EUR,03/01/10,4,2,3133.02,28.22,28.22,3352.55,31.48,31.48,243.35,524.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,45.1609677419,28.3357142857
02/01/2010,EP2,EUR,03/01/10,5,1,3167.84,29.32,29.32,3293.64,31.48,31.48,246.8,502,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,44.6325806452,28.6357142857
02/01/2010,EP2,EUR,03/01/10,5,2,3105.8,29.28,29.28,3219.35,29.32,29.32,255.4,515,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,44.2348387097,28.3357142857
02/01/2010,EP2,EUR,03/01/10,6,1,3047.87,31.48,31.48,3162.81,31.48,31.48,259,516.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,45.6593548387,28.81
02/01/2010,EP2,EUR,03/01/10,6,2,3023.33,29.32,29.32,3134.57,31.48,31.48,276.12,495.5,0,96.17,6075,16741.55,10510.2,12489.21,13381.21,13839.21,13839.21,45.8922580645,29.17
03/01/2010,EP2,EUR,03/01/10,7,1,3039.15,27.01,27.01,3133.8,26.26,26.26,402.01,514,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,46.185483871,29.0742857143
03/01/2010,EP2,EUR,03/01/10,7,2,3045.79,27.01,27.01,3154.53,26.26,26.26,401.3,503.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,47.355483871,29.57
03/01/2010,EP2,EUR,03/01/10,8,1,3098.75,27.01,27.01,3195.32,26.45,26.45,393.49,480.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,50.68,29.37
03/01/2010,EP2,EUR,03/01/10,8,2,3118.29,27.01,27.01,3239.82,27.01,27.01,396.12,480.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,55.0722580645,29.3528571429
03/01/2010,EP2,EUR,03/01/10,9,1,3075.68,27.01,27.01,3223.68,27.01,27.01,387.32,459.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,58.8716129032,30.0985714286
03/01/2010,EP2,EUR,03/01/10,9,2,3103.21,27.01,27.01,3282.86,27.01,27.01,386.11,465,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,56.9609677419,30.3114285714
03/01/2010,EP2,EUR,03/01/10,10,1,3283.88,29.31,29.31,3394.29,27.1,27.1,371.36,473,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,60.3429032258,33.9985714286
03/01/2010,EP2,EUR,03/01/10,10,2,3520.17,31.79,31.79,3602.88,43.82,28.22,376.19,475,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,65.4616129032,35.03
03/01/2010,EP2,EUR,03/01/10,11,1,3827.83,31.79,31.79,3826.46,44.88,29.28,365.94,457,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,64.5019354839,39.5671428571
03/01/2010,EP2,EUR,03/01/10,11,2,4097.29,35.68,35.68,4064.77,46.78,31.18,375.09,465.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,64.804516129,40.8057142857
03/01/2010,EP2,EUR,03/01/10,12,1,4274.29,31.79,31.79,4210.89,47.39,31.79,371.97,432.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,67.4038709677,41.6071428571
03/01/2010,EP2,EUR,03/01/10,12,2,4385.3,37.89,31.79,4376.89,47.39,31.79,376.65,413.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,65.6264516129,43.5157142857
03/01/2010,EP2,EUR,03/01/10,13,1,4604.26,37.98,31.88,4573.45,47.39,31.79,368.52,400.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,67.5509677419,45.1885714286
03/01/2010,EP2,EUR,03/01/10,13,2,4735.99,55.66,49.02,4733.31,47.39,31.79,366.94,401.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,68.4470967742,44.2285714286
03/01/2010,EP2,EUR,03/01/10,14,1,4768.21,57.81,49.02,4806.86,47.39,31.79,357.7,380,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,64.3864516129,44.19
03/01/2010,EP2,EUR,03/01/10,14,2,4706.07,43.55,37.45,4784.17,47.39,31.79,356.66,370,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,60.3822580645,41.9185714286
03/01/2010,EP2,EUR,03/01/10,15,1,4635.76,43.55,37.45,4693.65,47.39,31.79,353.03,403.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,61.5648387097,40.4857142857
03/01/2010,EP2,EUR,03/01/10,15,2,4545.96,42.05,35.95,4627.12,47.39,31.79,349.86,424.5,0,96.17,6075,16742.41,10511.06,12490.07,13382.07,13840.07,13840.07,61.7516129032,39.0571428571
